"Squad","Player","Pos","Age","90s","SCA","SCA90","SCA-PassLive","SCA-PassDead","SCA-TO","SCA-Sh","SCA-Fld","SCA-Def","GCA","GCA90","GCA-PassLive","GCA-PassDead","GCA-TO","GCA-Sh","GCA-Fld","GCA-Def"
"Croatia","Mateo Kovacic","MF",28,7.1,17,2.41,16,0,1,0,0,0,2,0.28,2,0,0,0,0,0
"Croatia","Andrej Kramaric","FW,MF",30,5.3,10,1.9,7,0,1,1,0,1,0,0,0,0,0,0,0,0
"Croatia","Josip Juranovic","DF",26,6.7,15,2.5,12,3,0,0,0,0,2,0.33,2,0,0,0,0,0
"Croatia","Dejan Lovren","DF",32,6.7,2,0.33,2,0,0,0,0,0,1,0.17,1,0,0,0,0,0
"Croatia","Marcelo Brozovic","MF",29,6.1,10,1.72,10,0,0,0,0,0,1,0.17,1,0,0,0,0,0
"Croatia","Borna Sosa","DF",24,4.7,3,0.64,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"Croatia","Marko Livaja","FW",28,2.7,3,1.19,3,0,0,0,0,0,1,0.4,1,0,0,0,0,0
"Croatia","Mario Pasalic","FW,MF",27,3,4,1.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia","Bruno Petkovic","FW",27,2.6,7,3.09,5,0,1,0,1,0,0,0,0,0,0,0,0,0
"Croatia","Nikola Vlasic","FW,MF",24,2.3,4,2.29,3,0,0,1,0,0,1,0.57,1,0,0,0,0,0
"Croatia","Mislav Orsic","FW",29,1.8,7,4.5,6,0,1,0,0,0,2,1.29,2,0,0,0,0,0
"Croatia","Lovro Majer","MF,FW",24,1.4,5,4.79,4,1,0,0,0,0,1,0.96,0,1,0,0,0,0
"Croatia","Borna Barisic","DF",29,1.3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia","Josip Stanisic","DF",22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia","Josip Sutalo","DF",22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia","Ante Budimir","FW",30,0.6,1,2.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Croatia","Kristijan Jakic","FW",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Emiliano Martinez","GK",29,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Lionel Messi","FW",34,7.7,43,6.14,28,5,3,1,5,1,5,0.71,4,0,1,0,0,0
"Argentina","Nicolas Otamendi","DF",34,7.7,4,0.57,3,0,0,0,0,1,1,0.14,1,0,0,0,0,0
"Argentina","Rodrigo De Paul","MF",28,6.7,19,2.85,17,0,0,1,0,1,0,0,0,0,0,0,0,0
"Argentina","Nahuel Molina","DF",24,6.3,10,1.59,9,0,0,0,0,1,2,0.32,2,0,0,0,0,0
"Argentina","Alexis Mac Allister","MF",23,6.1,16,2.77,16,0,0,0,0,0,2,0.35,2,0,0,0,0,0
"Argentina","Cristian Romero","DF",24,6.1,3,0.52,2,1,0,0,0,0,1,0.17,0,1,0,0,0,0
"Argentina","Enzo Fernandez","MF",21,6.3,17,3.04,15,0,2,0,0,0,4,0.71,3,0,1,0,0,0
"Argentina","Julian Alvarez","FW",22,5.2,10,1.94,7,0,0,2,1,0,2,0.39,1,0,0,0,1,0
"Argentina","Marcos Acuna","DF,FW",30,4.1,7,1.84,4,2,0,0,1,0,1,0.26,0,0,0,0,1,0
"Argentina","Angel Di Maria","MF,FW",34,3.2,21,6.77,16,3,1,0,1,0,4,1.29,2,0,1,0,1,0
"Argentina","Nicolas Tagliafico","DF",29,4.1,4,1.05,3,0,0,0,0,1,0,0,0,0,0,0,0,0
"Argentina","Lisandro Martinez","DF",24,3.4,2,0.59,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Argentina","Lautaro Martinez","FW",24,2.7,7,3.26,3,0,0,4,0,0,1,0.47,0,0,0,1,0,0
"Argentina","Leandro Paredes","MF",27,2.5,7,3.58,5,1,0,0,1,0,2,1.02,1,0,0,0,1,0
"Argentina","Papu Gomez","MF,FW",34,1.2,1,0.84,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Argentina","Gonzalo Montiel","DF,MF",25,1.3,3,3.7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Guido Rodriguez","MF",28,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","German Pezzella","DF",30,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Exequiel Palacios","MF,DF",23,0.6,3,5.4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"Argentina","Paulo Dybala","FW",28,0.2,1,5.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Thiago Almada","MF",21,0.1,1,12.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Angel Correa","MF",27,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Juan Foyth","DF",24,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
