"Squad","Player","Pos","Age","90s","Gls","Sh","SoT","SoT%","Sh/90","SoT/90","G/Sh","G/SoT","Dist","FK","PK","PKatt","xG","npxG","npxG/Sh","G-xG","np:G-xG"
"France","Jordan Veretout","MF",29,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"France","Lucas Hernandez","DF",26,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"France","Marcus Thuram","FW,MF",24,1.7,0,1,0,0,0.6,0,0,,5.4,0,0,0,0.2,0.2,0.22,-0.2,-0.2
"France","William Saliba","DF",21,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Croatia","Josko Gvardiol","DF",20,7.7,1,2,1,50,0.26,0.13,0.5,1,16.8,0,0,0,0.1,0.1,0.07,0.9,0.9
"Croatia","Dominik Livakovic","GK",27,7.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Croatia","Ivan Perisic","FW,DF",33,7.4,1,16,4,25,2.15,0.54,0.06,0.25,20,1,0,0,0.9,0.9,0.06,0.1,0.1
"Croatia","Luka Modric","MF",36,7.3,0,6,4,66.7,0.83,0.55,0,0,21.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4
"Croatia","Mateo Kovacic","MF",28,7.1,0,3,1,33.3,0.43,0.14,0,0,17,0,0,0,0.3,0.3,0.11,-0.3,-0.3
"Croatia","Andrej Kramaric","FW,MF",30,5.3,2,10,4,40,1.9,0.76,0.2,0.5,15.1,0,0,0,1.6,1.6,0.16,0.4,0.4
"Croatia","Josip Juranovic","DF",26,6.7,0,1,0,0,0.15,0,0,,18.1,0,0,0,0,0,0.03,0,0
"Croatia","Dejan Lovren","DF",32,6.7,0,4,0,0,0.6,0,0,,14.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3
"Croatia","Marcelo Brozovic","MF",29,6.1,0,4,2,50,0.65,0.33,0,0,17.4,0,0,0,0.5,0.5,0.13,-0.5,-0.5
"Croatia","Borna Sosa","DF",24,4.7,0,2,0,0,0.42,0,0,,28.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
"Croatia","Marko Livaja","FW",28,2.7,1,6,4,66.7,2.24,1.49,0.17,0.25,15.1,0,0,0,0.8,0.8,0.13,0.2,0.2
"Croatia","Mario Pasalic","FW,MF",27,3,0,3,0,0,1,0,0,,7.8,0,0,0,0.3,0.3,0.09,-0.3,-0.3
"Croatia","Bruno Petkovic","FW",27,2.6,1,1,1,100,0.38,0.38,1,1,16.2,0,0,0,0.1,0.1,0.12,0.9,0.9
"Croatia","Nikola Vlasic","FW,MF",24,2.3,0,5,1,20,2.15,0.43,0,0,17.2,0,0,0,0.4,0.4,0.09,-0.4,-0.4
"Croatia","Mislav Orsic","FW",29,1.8,1,9,2,22.2,5,1.11,0.11,0.5,22.5,0,0,0,0.4,0.4,0.04,0.6,0.6
"Croatia","Lovro Majer","MF,FW",24,1.4,1,4,2,50,2.77,1.38,0.25,0.5,23.2,0,0,0,0.7,0.7,0.18,0.3,0.3
"Croatia","Borna Barisic","DF",29,1.3,0,1,0,0,0.75,0,0,,24.8,0,0,0,0,0,0.02,0,0
"Croatia","Josip Stanisic","DF",22,1,0,1,0,0,1,0,0,,28.6,0,0,0,0,0,0.02,0,0
"Croatia","Josip Sutalo","DF",22,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Croatia","Ante Budimir","FW",30,0.6,0,1,0,0,1.64,0,0,,10.8,0,0,0,0.2,0.2,0.18,-0.2,-0.2
"Croatia","Kristijan Jakic","FW",25,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Argentina","Emiliano Martinez","GK",29,7.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Argentina","Lionel Messi","FW",34,7.7,7,27,13,48.1,3.52,1.7,0.11,0.23,20.9,3,4,5,6.6,2.7,0.1,0.4,0.3
"Argentina","Nicolas Otamendi","DF",34,7.7,0,1,0,0,0.13,0,0,,12.3,0,0,0,0,0,0.03,0,0
"Argentina","Rodrigo De Paul","MF",28,6.7,0,7,3,42.9,1.05,0.45,0,0,20.1,0,0,0,0.9,0.9,0.13,-0.9,-0.9
"Argentina","Nahuel Molina","DF",24,6.3,1,2,1,50,0.32,0.16,0.5,1,16.2,0,0,0,0.5,0.5,0.23,0.5,0.5
"Argentina","Alexis Mac Allister","MF",23,6.1,1,7,4,57.1,1.15,0.65,0.14,0.25,19,0,0,0,0.7,0.7,0.1,0.3,0.3
"Argentina","Cristian Romero","DF",24,6.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Argentina","Enzo Fernandez","MF",21,6.3,1,8,3,37.5,1.28,0.48,0.13,0.33,24.9,0,0,0,0.3,0.3,0.04,0.7,0.7
"Argentina","Julian Alvarez","FW",22,5.2,4,11,8,72.7,2.13,1.55,0.36,0.5,12.2,0,0,0,2.6,2.6,0.24,1.4,1.4
"Argentina","Marcos Acuna","DF,FW",30,4.1,0,2,0,0,0.48,0,0,,17.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
"Argentina","Angel Di Maria","MF,FW",34,3.2,1,6,3,50,1.87,0.94,0.17,0.33,20.7,0,0,0,0.6,0.6,0.11,0.4,0.4
"Argentina","Nicolas Tagliafico","DF",29,4.1,0,3,1,33.3,0.72,0.24,0,0,11.3,0,0,0,1,1,0.34,-1,-1
"Argentina","Lisandro Martinez","DF",24,3.4,0,1,0,0,0.3,0,0,,10.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1
"Argentina","Lautaro Martinez","FW",24,2.7,0,14,4,28.6,5.23,1.49,0,0,12.6,0,0,0,1.9,1.9,0.13,-1.9,-1.9
"Argentina","Leandro Paredes","MF",27,2.5,0,1,1,100,0.4,0.4,0,0,30.6,0,0,0,0,0,0.03,0,0
"Argentina","Papu Gomez","MF,FW",34,1.2,0,2,0,0,1.68,0,0,,26.3,0,0,0,0,0,0.02,0,0
"Argentina","Gonzalo Montiel","DF,MF",25,1.3,0,1,0,0,0.76,0,0,,27.3,0,0,0,0,0,0.02,0,0
"Argentina","Guido Rodriguez","MF",28,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Argentina","German Pezzella","DF",30,0.7,0,1,0,0,1.5,0,0,,10,0,0,0,0.1,0.1,0.07,-0.1,-0.1
"Argentina","Exequiel Palacios","MF,DF",23,0.6,0,1,0,0,1.8,0,0,,16.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
"Argentina","Paulo Dybala","FW",28,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Argentina","Thiago Almada","MF",21,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Argentina","Angel Correa","MF",27,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Argentina","Juan Foyth","DF",24,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
