"Squad","Player","Pos","Age","Club","MP","Starts","Min","90s","Gls","Ast","G+A","G-PK","PK","PKatt","CrdY","CrdR","xG","npxG","xAG","npxG+xAG","PrgC","PrgP","PrgR","Gls/90","Ast/90","G+A/90","G-PK/90","G+A-PK/90","xG/90","xAG/90","xG+xAG/90","npxG/90","npxG+xAG/90"
"France","Raphael Varane","DF",29,"Manchester Utd",6,6,518,5.8,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,8,7,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06
"France","Ousmane Dembele","FW",25,"Barcelona",7,6,433,4.8,0,2,2,0,0,0,1,0,0.5,0.5,1.6,2.1,23,15,45,0,0.42,0.42,0,0.42,0.1,0.34,0.44,0.1,0.44
"France","Olivier Giroud","FW",35,"Milan",6,6,419,4.7,4,0,4,4,0,0,1,0,3.4,3.4,0.1,3.5,1,9,10,0.86,0,0.86,0.86,0.86,0.72,0.03,0.76,0.72,0.76
"France","Theo Hernandez","DF",24,"Milan",6,5,508,5.6,1,2,3,1,0,0,1,0,0.4,0.4,1.2,1.6,18,23,33,0.18,0.35,0.53,0.18,0.53,0.07,0.22,0.29,0.07,0.29
"France","Adrien Rabiot","MF",27,"Juventus",6,5,483,5.4,1,1,2,1,0,0,1,0,1,1,0.9,1.9,10,18,18,0.19,0.19,0.37,0.19,0.37,0.19,0.16,0.36,0.19,0.36
"France","Jules Kounde","DF",23,"Barcelona",6,5,480,5.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,7,20,3,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
"France","Dayot Upamecano","DF",23,"Bayern Munich",5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,26,2,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
"France","Ibrahima Konate","DF",23,"Liverpool",5,3,294,3.3,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.7,1,18,1,0,0,0,0,0,0.12,0.12,0.24,0.12,0.24
"France","Youssouf Fofana","MF",23,"Monaco",6,2,227,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,6,11,4,0,0,0,0,0,0.07,0.07,0.14,0.07,0.14
"France","Randal Kolo Muani","FW",23,"Eint Frankfurt",3,1,182,2,1,0,1,1,0,0,0,0,1.1,1.1,0,1.1,2,1,10,0.49,0,0.49,0.49,0.49,0.66,0,0.66,0.66,0.66
"France","Kingsley Coman","FW,MF",26,"Bayern Munich",6,1,169,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,7,1,18,0,0,0,0,0,0.1,0.05,0.15,0.1,0.15
"France","Eduardo Camavinga","DF",19,"Real Madrid",2,1,140,1.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,6,4,0,0,0,0,0,0,0.08,0.08,0,0.08
"France","Axel Disasi","DF",24,"Monaco",3,1,92,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,7,3,0,0,0,0,0,0.07,0,0.07,0.07,0.07
"France","Steve Mandanda","GK",37,"Rennes",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Benjamin Pavard","DF",26,"Bayern Munich",1,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0
