"Squad","Player","Pos","Age","90s","Tackles-Tkl","Tackles-TklW","Tackles-Def3rd","Tackles-Mid3rd","Tackles-Att3rd","Challenges-Tkl","Challenges-Att","Challenges-Tkl","Challenges-Lost","Blocks","Blocks-Sh","Blocks-Pass","Int","Tkl+Int","Clr","Err"
"Croatia","Andrej Kramaric","FW,MF",30,5.3,3,2,0,1,2,0,1,0,1,6,0,6,0,3,0,0
"Croatia","Josip Juranovic","DF",26,6.7,12,8,9,3,0,8,8,100,0,5,3,2,3,15,15,0
"Croatia","Dejan Lovren","DF",32,6.7,7,2,5,1,1,3,5,60,2,7,5,2,6,13,29,0
"Croatia","Marcelo Brozovic","MF",29,6.1,13,7,8,2,3,3,10,30,7,13,7,6,4,17,7,0
"Croatia","Borna Sosa","DF",24,4.7,14,6,9,3,2,10,12,83.3,2,4,0,4,2,16,18,0
"Croatia","Marko Livaja","FW",28,2.7,2,2,0,1,1,1,3,33.3,2,1,0,1,1,3,1,0
"Croatia","Mario Pasalic","FW,MF",27,3,7,5,2,4,1,3,7,42.9,4,6,2,4,3,10,3,0
"Croatia","Bruno Petkovic","FW",27,2.6,6,4,1,3,2,0,1,0,1,3,2,1,0,6,0,0
"Croatia","Nikola Vlasic","FW,MF",24,2.3,1,1,1,0,0,0,1,0,1,2,0,2,1,2,0,0
"Croatia","Mislav Orsic","FW",29,1.8,3,3,1,1,1,2,6,33.3,4,2,0,2,0,3,1,0
"Croatia","Lovro Majer","MF,FW",24,1.4,3,1,1,2,0,2,3,66.7,1,1,0,1,0,3,2,0
"Croatia","Borna Barisic","DF",29,1.3,1,1,0,1,0,1,1,100,0,1,0,1,0,1,4,0
"Croatia","Josip Stanisic","DF",22,1,3,3,0,3,0,2,2,100,0,0,0,0,1,4,0,0
"Croatia","Josip Sutalo","DF",22,1,0,0,0,0,0,0,0,,0,1,1,0,0,0,5,0
"Croatia","Ante Budimir","FW",30,0.6,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
"Croatia","Kristijan Jakic","FW",25,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"Argentina","Emiliano Martinez","GK",29,7.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
"Argentina","Lionel Messi","FW",34,7.7,5,3,1,3,1,0,2,0,2,2,0,2,0,5,0,0
"Argentina","Nicolas Otamendi","DF",34,7.7,10,6,7,3,0,5,7,71.4,2,6,2,4,9,19,24,0
"Argentina","Rodrigo De Paul","MF",28,6.7,11,6,6,4,1,8,13,61.5,5,8,0,8,7,18,3,0
"Argentina","Nahuel Molina","DF",24,6.3,8,4,6,2,0,4,8,50,4,7,1,6,3,11,11,0
"Argentina","Alexis Mac Allister","MF",23,6.1,9,4,3,5,1,4,7,57.1,3,13,1,12,3,12,6,0
"Argentina","Cristian Romero","DF",24,6.1,5,3,4,1,0,4,8,50,4,6,4,2,4,9,26,0
"Argentina","Enzo Fernandez","MF",21,6.3,22,15,15,5,2,13,23,56.5,10,7,1,6,3,25,7,0
"Argentina","Julian Alvarez","FW",22,5.2,4,2,3,0,1,0,2,0,2,8,0,8,0,4,3,0
"Argentina","Marcos Acuna","DF,FW",30,4.1,12,8,9,2,1,6,7,85.7,1,8,1,7,2,14,9,0
"Argentina","Angel Di Maria","MF,FW",34,3.2,3,1,2,0,1,1,3,33.3,2,3,0,3,1,4,0,0
"Argentina","Nicolas Tagliafico","DF",29,4.1,7,7,2,3,2,4,4,100,0,9,1,8,9,16,9,0
"Argentina","Lisandro Martinez","DF",24,3.4,6,2,4,2,0,2,2,100,0,3,1,2,3,9,14,0
"Argentina","Lautaro Martinez","FW",24,2.7,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0
"Argentina","Leandro Paredes","MF",27,2.5,10,4,4,6,0,3,4,75,1,0,0,0,3,13,4,0
"Argentina","Papu Gomez","MF,FW",34,1.2,2,0,0,1,1,0,1,0,1,1,0,1,1,3,0,0
"Argentina","Gonzalo Montiel","DF,MF",25,1.3,3,2,2,1,0,2,4,50,2,1,0,1,1,4,1,0
"Argentina","Guido Rodriguez","MF",28,0.6,2,0,1,1,0,2,2,100,0,1,1,0,0,2,1,0
"Argentina","German Pezzella","DF",30,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"Argentina","Exequiel Palacios","MF,DF",23,0.6,0,0,0,0,0,0,2,0,2,0,0,0,2,2,1,0
"Argentina","Paulo Dybala","FW",28,0.2,3,1,0,2,1,0,0,,0,0,0,0,0,3,1,0
"Argentina","Thiago Almada","MF",21,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"Argentina","Angel Correa","MF",27,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0
"Argentina","Juan Foyth","DF",24,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
