"Squad","Player","Pos","Age","90s","Touches","Touches-Def Pen","Touches-Def 3rd","Touches-Mid 3rd","Touches-Att 3rd","Touches-Att Pen","Touches-Live","Take-Ons-Att","Take-Ons-Succ","Take-Ons-Succ%","Take-Ons-Tkld","Take-Ons-Tkld%","Carries","Carries-TotDist","Carries-PrgDist","Carries-PrgC","Carries-1/3","Carries-CPA","Carries-Mis","Carries-Dis","Receiving-Rec","Receiving-PrgR"
"France","Matteo Guendouzi","FW,MF",23,0.9,37,1,5,22,10,1,37,0,0,,0,,25,76,38,0,3,0,0,1,24,4
"France","Jordan Veretout","MF",29,0.7,43,2,11,25,7,1,43,0,0,,0,,20,52,11,0,0,0,2,1,32,1
"France","Lucas Hernandez","DF",26,0.1,10,0,1,8,1,0,10,0,0,,0,,6,5,2,0,0,0,0,0,6,2
"France","Marcus Thuram","FW,MF",24,1.7,74,3,11,35,29,4,74,12,6,50,4,33.3,41,276,152,8,5,0,5,4,49,9
"France","William Saliba","DF",21,0.3,38,2,14,19,5,0,38,1,1,100,0,0,29,120,60,0,1,0,1,0,31,0
"Croatia","Josko Gvardiol","DF",20,7.7,602,85,273,312,21,4,602,2,1,50,0,0,438,2683,1531,11,8,1,1,2,422,4
"Croatia","Dominik Livakovic","GK",27,7.7,245,224,245,0,0,0,245,0,0,,0,,151,713,384,0,0,0,0,0,112,0
"Croatia","Ivan Perisic","FW,DF",33,7.4,378,13,69,140,176,33,378,13,6,46.2,7,53.8,207,1245,577,27,17,11,18,5,243,63
"Croatia","Luka Modric","MF",36,7.3,613,8,90,394,140,11,613,16,6,37.5,5,31.3,422,2457,1234,21,15,6,12,7,448,21
"Croatia","Mateo Kovacic","MF",28,7.1,524,5,81,347,106,13,524,20,11,55,7,35,365,2174,1104,24,16,3,10,7,403,23
"Croatia","Andrej Kramaric","FW,MF",30,5.3,215,0,12,93,114,16,215,8,4,50,3,37.5,153,828,325,10,9,2,7,6,180,44
"Croatia","Josip Juranovic","DF",26,6.7,461,33,123,232,110,3,461,4,1,25,1,25,255,1438,872,15,12,1,7,4,288,38
"Croatia","Dejan Lovren","DF",32,6.7,516,55,243,264,11,4,516,0,0,,0,,373,2273,1245,3,2,0,1,0,383,1
"Croatia","Marcelo Brozovic","MF",29,6.1,594,25,138,385,76,3,594,8,3,37.5,3,37.5,386,1948,799,11,14,0,5,8,449,18
"Croatia","Borna Sosa","DF",24,4.7,336,18,106,140,91,3,336,4,2,50,2,50,196,1078,632,18,9,1,6,3,218,29
"Croatia","Marko Livaja","FW",28,2.7,83,1,5,38,42,18,83,2,0,0,2,100,45,129,42,1,0,1,7,2,65,21
"Croatia","Mario Pasalic","FW,MF",27,3,132,8,30,79,26,6,132,4,0,0,4,100,77,314,128,4,3,1,6,3,80,14
"Croatia","Bruno Petkovic","FW",27,2.6,102,3,7,55,42,13,102,4,2,50,1,25,79,470,164,6,5,3,7,10,91,10
"Croatia","Nikola Vlasic","FW,MF",24,2.3,81,1,10,35,38,8,81,9,3,33.3,2,22.2,58,296,119,4,3,1,5,6,63,18
"Croatia","Mislav Orsic","FW",29,1.8,81,3,9,29,44,8,81,3,1,33.3,2,66.7,56,338,221,10,6,3,7,0,61,15
"Croatia","Lovro Majer","MF,FW",24,1.4,122,4,20,58,45,4,122,2,0,0,2,100,80,508,219,5,3,0,5,6,96,16
"Croatia","Borna Barisic","DF",29,1.3,82,5,22,42,19,2,82,0,0,,0,,39,161,88,2,3,0,1,0,44,2
"Croatia","Josip Stanisic","DF",22,1,56,1,16,29,11,1,56,0,0,,0,,30,166,91,1,2,0,0,0,29,5
"Croatia","Josip Sutalo","DF",22,1,73,14,42,31,0,0,73,0,0,,0,,63,281,122,0,0,0,0,0,61,0
"Croatia","Ante Budimir","FW",30,0.6,12,1,1,5,6,2,12,0,0,,0,,4,15,10,0,1,0,1,1,5,2
"Croatia","Kristijan Jakic","FW",25,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
"Argentina","Emiliano Martinez","GK",29,7.7,196,172,196,0,0,0,196,0,0,,0,,123,609,365,0,0,0,0,0,83,0
"Argentina","Lionel Messi","FW",34,7.7,462,1,20,206,245,41,457,34,15,44.1,12,35.3,348,2228,1161,29,38,8,14,24,380,37
"Argentina","Nicolas Otamendi","DF",34,7.7,641,52,298,335,9,3,641,0,0,,0,,474,2253,1170,7,1,0,2,1,474,2
"Argentina","Rodrigo De Paul","MF",28,6.7,626,4,81,373,178,12,626,10,1,10,4,40,445,1901,849,16,14,2,9,7,482,20
"Argentina","Nahuel Molina","DF",24,6.3,405,14,118,194,94,6,405,2,1,50,1,50,223,938,474,10,10,1,6,3,251,32
