"Squad","Player","Pos","Age","90s","Perf_CrdY","Perf_CrdR","Perf_2CrdY","Perf_Fls","Perf_Fld","Perf_Off","Perf_Crs","Perf_Int","Perf_TklW","Perf_PKwon","Perf_PKcon","Perf_OG","Perf_Recov","AerialDuels_Won","AerialDuels_Lost","AerialDuels_Won%"
"Croatia","Andrej Kramaric","FW,MF",30,5.3,0,0,0,1,4,2,6,0,2,0,0,0,18,0,4,0
"Croatia","Josip Juranovic","DF",26,6.7,0,0,0,1,6,0,24,3,8,0,0,0,40,2,4,33.3
"Croatia","Dejan Lovren","DF",32,6.7,1,0,0,2,5,1,3,6,2,0,0,0,31,17,6,73.9
"Croatia","Marcelo Brozovic","MF",29,6.1,1,0,0,12,11,0,4,4,7,0,0,0,45,6,4,60
"Croatia","Borna Sosa","DF",24,4.7,0,0,0,4,2,0,21,2,6,0,0,0,14,4,4,50
"Croatia","Marko Livaja","FW",28,2.7,0,0,0,6,3,1,1,1,2,0,0,0,10,4,5,44.4
"Croatia","Mario Pasalic","FW,MF",27,3,0,0,0,4,1,2,1,3,5,0,0,0,21,7,7,50
"Croatia","Bruno Petkovic","FW",27,2.6,1,0,0,3,11,0,1,0,4,0,0,0,9,8,13,38.1
"Croatia","Nikola Vlasic","FW,MF",24,2.3,0,0,0,4,6,0,4,1,1,0,0,0,10,2,6,25
"Croatia","Mislav Orsic","FW",29,1.8,0,0,0,3,0,1,4,0,3,0,0,0,4,0,0,
"Croatia","Lovro Majer","MF,FW",24,1.4,0,0,0,5,3,0,8,0,1,0,0,0,10,0,0,
"Croatia","Borna Barisic","DF",29,1.3,1,0,0,5,2,0,11,0,1,0,0,0,3,6,2,75
"Croatia","Josip Stanisic","DF",22,1,0,0,0,1,2,0,1,1,3,0,0,0,4,1,0,100
"Croatia","Josip Sutalo","DF",22,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
"Croatia","Ante Budimir","FW",30,0.6,0,0,0,4,2,0,0,0,1,0,0,0,0,2,4,33.3
"Croatia","Kristijan Jakic","FW",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Argentina","Emiliano Martinez","GK",29,7.7,1,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100
"Argentina","Lionel Messi","FW",34,7.7,1,0,0,10,22,3,20,0,3,1,0,0,22,2,7,22.2
"Argentina","Nicolas Otamendi","DF",34,7.7,2,0,0,13,5,1,0,9,6,0,1,0,39,21,13,61.8
